Landscape Metrics,Units,Class,Metric Type,Scale,Reference,StreamCat Table Name
"PctUrbAg2006CatBf600, PctUrbAg2006WsBf600 - % of the local catchment (Cat) and upstream watershed (Ws) classified as urban and agricultural land uses within a 600-m wide buffer of the NHD stream lines (Rp100). Derived as the intersection between RipBuf100 and nlcd2006.tif (classes 21-24 and 81-82) landscape layers.",%,Disturbance,Ag/Urban,Riparian,Falcone et al. 2010,NLCD2006LnBf600_
"PctUrbAg2011CatBf600, PctUrbAg2011WsBf600 - % of the local catchment (Cat) and upstream watershed (Ws) classified as urban and agricultural land uses within a 600-m wide buffer of the NHD stream lines (Rp100). Derived as the intersection between RipBuf100 and nlcd2011.tif (classes 21-24 and 81-82) landscape layers.",%,Disturbance,Ag/Urban,Riparian,"Homer, C.G., Dewitz, J.A., Yang, L., Jin, S., Danielson, P., Xian, G., Coulston, J., Herold, N.D., Wickham, J.D., and Megown, K., 2015, Completion of the 2011 National Land Cover Database for the conterminous United States-Representing a decade of land cover change information. Photogrammetric Engineering and Remote Sensing, v. 81, no. 5, p. 345-354 ",NLCD2011LnBf600_
"PctUrbAg2001CatBf600, PctUrbAg2001WsBf600 - % of the local catchment (Cat) and upstream watershed (Ws) classified as urban and agricultural land uses within a 600-m wide buffer of the NHD stream lines (Rp100). Derived as the intersection between RipBuf100 and nlcd2001.tif (classes 21-24 and 81-82) landscape layers.",%,Disturbance,Ag/Urban,Riparian,"Homer, C., Dewitz, J., Fry, J., Coan, M., Hossain, N., Larson, C., Herold, N., McKerrow, A., VanDriel, J.N., and Wickham, J. 2007. Completion of the 2001 National Land Cover Database for the Conterminous United States. Photogrammetric Engineering and Remote Sensing, Vol. 73, No. 4, pp 337-341. ",NLCD2001LnBf600_
"PctCrop2006Cat, PctCrop2006Ws – % of the local catchment (Cat) and upstream watershed (Ws) areas classified as row crop land use. Derived from the nlcd2006.tif  (class 82) landscape raster.",%,Disturbance,Agriculture,Watershed,Wang et al. 2011,NLCD2006_
"PctHay2006Cat, PctHay2006Ws – % of the local catchment (Cat) and upstream watershed (Ws) areas classified as pasture/hay land use. Derived from the nlcd2006.tif  (class 81) landscape raster.",%,Disturbance,Agriculture,Watershed,Wang et al. 2011,NLCD2006_
"PctHay2006CatRp100, PctHay2006WsRp100 - % of the local catchment (Cat) and upstream watershed (Ws) classified as pasture/hay land use within a 100-m wide buffer of the NHD stream lines (Rp100). Derived as the intersection between RipBuf100 and nlcd2006.tif (class 81) landscape layers.",%,Disturbance,Agriculture,Riparian,Wang et al. 2011,NLCD2006_RipBuf100_
"PctAg2006Slp10Cat, PctAg2006Slp10Ws – % of the local catchment (Cat), and upstream watershed (Ws) classified as agriculture (NLCD classes 81 and 82) occurring on slopes ?10%. Derived from the intersection of midslope_mask.tif with nlcd2006.tif (classes 81 and 82) .",%,Disturbance,Agriculture,Watershed,Carlisle et al. 2009,AgMidHiSlopes_
"PctAg2006Slp20Cat, PctAg2006Slp20Ws – % of the local catchment (Cat), and upstream watershed (Ws) classified as agriculture (NLCD classes 81 and 82) occurring on slopes ?10%. Derived from the intersection of hislope_mask.tif with nlcd2006.tif (classes 81 and 82) .",%,Disturbance,Agriculture,Watershed,Carlisle et al. 2009,AgMidHiSlopes_
"PctCrop2011Cat, PctCrop2011Ws – % of the local catchment (Cat) and upstream watershed (Ws) areas classified as row crop land use. Derived from the nlcd2011.tif  (class 82) landscape raster.",%,Disturbance,Agriculture,Watershed,"Homer, C.G., Dewitz, J.A., Yang, L., Jin, S., Danielson, P., Xian, G., Coulston, J., Herold, N.D., Wickham, J.D., and Megown, K., 2015, Completion of the 2011 National Land Cover Database for the conterminous United States-Representing a decade of land cover change information. Photogrammetric Engineering and Remote Sensing, v. 81, no. 5, p. 345-354 ",NLCD2011_
"PctHay2011Cat, PctHay2011Ws – % of the local catchment (Cat) and upstream watershed (Ws) areas classified as pasture/hay land use. Derived from the nlcd2011.tif  (class 81) landscape raster.",%,Disturbance,Agriculture,Watershed,"Homer, C.G., Dewitz, J.A., Yang, L., Jin, S., Danielson, P., Xian, G., Coulston, J., Herold, N.D., Wickham, J.D., and Megown, K., 2015, Completion of the 2011 National Land Cover Database for the conterminous United States-Representing a decade of land cover change information. Photogrammetric Engineering and Remote Sensing, v. 81, no. 5, p. 345-354 ",NLCD2011_
"PctHay2011CatRp100, PctHay2011WsRp100 - % of the local catchment (Cat) and upstream watershed (Ws) classified as pasture/hay land use within a 100-m wide buffer of the NHD stream lines (Rp100). Derived as the intersection between RipBuf100 and nlcd2011.tif (class 81) landscape layers.",%,Disturbance,Agriculture,Riparian,"Homer, C.G., Dewitz, J.A., Yang, L., Jin, S., Danielson, P., Xian, G., Coulston, J., Herold, N.D., Wickham, J.D., and Megown, K., 2015, Completion of the 2011 National Land Cover Database for the conterminous United States-Representing a decade of land cover change information. Photogrammetric Engineering and Remote Sensing, v. 81, no. 5, p. 345-354 ",NLCD2011_RipBuf100_
"PctCrop2001Cat, PctCrop2001Ws – % of the local catchment (Cat) and upstream watershed (Ws) areas classified as row crop land use. Derived from the nlcd2001.tif  (class 82) landscape raster.",%,Disturbance,Agriculture,Watershed,"Homer, C., Dewitz, J., Fry, J., Coan, M., Hossain, N., Larson, C., Herold, N., McKerrow, A., VanDriel, J.N., and Wickham, J. 2007. Completion of the 2001 National Land Cover Database for the Conterminous United States. Photogrammetric Engineering and Remote Sensing, Vol. 73, No. 4, pp 337-341. ",NLCD2001_
"PctHay2001Cat, PctHay2001Ws – % of the local catchment (Cat) and upstream watershed (Ws) areas classified as pasture/hay land use. Derived from the nlcd2001.tif  (class 81) landscape raster.",%,Disturbance,Agriculture,Watershed,"Homer, C., Dewitz, J., Fry, J., Coan, M., Hossain, N., Larson, C., Herold, N., McKerrow, A., VanDriel, J.N., and Wickham, J. 2007. Completion of the 2001 National Land Cover Database for the Conterminous United States. Photogrammetric Engineering and Remote Sensing, Vol. 73, No. 4, pp 337-341. ",NLCD2001_
"PctHay2001CatRp100, PctHay2001WsRp100 - % of the local catchment (Cat) and upstream watershed (Ws) classified as pasture/hay land use within a 100-m wide buffer of the NHD stream lines (Rp100). Derived as the intersection between RipBuf100 and nlcd2001.tif (class 81) landscape layers.",%,Disturbance,Agriculture,Riparian,"Homer, C., Dewitz, J., Fry, J., Coan, M., Hossain, N., Larson, C., Herold, N., McKerrow, A., VanDriel, J.N., and Wickham, J. 2007. Completion of the 2001 National Land Cover Database for the Conterminous United States. Photogrammetric Engineering and Remote Sensing, Vol. 73, No. 4, pp 337-341. ",NLCD2001_RipBuf100_
prG_BMMI - Predicted biological condition based on 2008/2009 National Rivers and Streams Assessment (NRSA) benthic invertebrate multimetric index (BMMI). ,Probability,Natural,Bio,Stream segment,"Hill, R. A., Fox, E. W., Leibowitz, S. G., Olsen, A. R., Thornbrugh, D. J. and Weber, M. H. (2017), Predictive mapping of the biotic condition of conterminous U.S. rivers and streams. Ecol Appl, 27: 2397–2415. doi:10.1002/eap.1617",NRSA_PredictedBioCondition_
"Tmin8110Cat,Tmin8110Ws –  PRISM climate data - 30-year average annual normal minimum air temperature (C°):, within the local catchment (Cat) and upstream watershed (Ws) ",C°,Natural,Climate,Watershed,"PRISM Climate Group, Oregon State University, http://prism.oregonstate.edu, accessed 8 June 2015.",PRISM_1981_2010_
"Tmean8110Cat, Tmean8110Ws –  PRISM climate data - 30-year average annual normal mean air temperature (C°):, within the local catchment (Cat) and upstream watershed (Ws) ",C°,Natural,Climate,Watershed,"PRISM Climate Group, Oregon State University, http://prism.oregonstate.edu, accessed 8 June 2015.",PRISM_1981_2010_
"Tmax8110Cat, Tmax8110Ws –  PRISM climate data - 30-year average annual normal maxmum air temperature (C°):, within the local catchment (Cat) and upstream watershed (Ws) ",C°,Natural,Climate,Watershed,"PRISM Climate Group, Oregon State University, http://prism.oregonstate.edu, accessed 8 June 2015.",PRISM_1981_2010_
"Precip8110Cat, Precip8110Ws –  PRISM climate data - 30-year average annual normal precipitation (mm):, within the local catchment (Cat) and upstream watershed (Ws) ",Ave rate (mm),Natural,Climate,Watershed,"PRISM Climate Group, Oregon State University, http://prism.oregonstate.edu, accessed 8 June 2015.",PRISM_1981_2010_
"Tmean08Cat,Tmean08Ws –  PRISM climate data - mean air temperature (C°):, within the local catchment (Cat) and upstream watershed (Ws). This metric was derived to support modeling of stream biological condition based on the 2008-2009 NRSA.  ",C°,Natural,Climate,Watershed,"PRISM Climate Group, Oregon State University, http://prism.oregonstate.edu, accessed 8 June 2015.",PRISM_2008_2009_
"Tmean09Cat,Tmean09Ws –  PRISM climate data - mean air temperature (C°):, within the local catchment (Cat) and upstream watershed (Ws). This metric was derived to support modeling of stream biological condition based on the 2008-2009 NRSA.  ",C°,Natural,Climate,Watershed,"PRISM Climate Group, Oregon State University, http://prism.oregonstate.edu, accessed 8 June 2015.",PRISM_2008_2009_
"Precip08Cat, Precip08Ws –  PRISM climate data - mean precipitation (mm):, within the local catchment (Cat) and upstream watershed (Ws). This metric was derived to support modeling of stream biological condition based on the 2008-2009 NRSA.  ",mm,Natural,Climate,Watershed,"PRISM Climate Group, Oregon State University, http://prism.oregonstate.edu, accessed 8 June 2015.",PRISM_2008_2009_
"Precip09Cat, Precip09Ws –  PRISM climate data - mean precipitation (mm):, within the local catchment (Cat) and upstream watershed (Ws). This metric was derived to support modeling of stream biological condition based on the 2008-2009 NRSA.  ",mm,Natural,Climate,Watershed,"PRISM Climate Group, Oregon State University, http://prism.oregonstate.edu, accessed 8 June 2015.",PRISM_2008_2009_
"MSST_2008, MSST_2009, MSST_2013, MSST_2014 - Predicted reference-condition mean summer stream temperatures. These temperatures are predictions of what stream temperatures could be under minimal human-related alterations to watersheds - not current conditions",C°,Natural,Climate,Watershed,"PRISM Climate Group, Oregon State University, http://prism.oregonstate.edu, accessed June - November 2016; Predictions made by applying a random forest model developed by Hill et al. (2013)",RefStreamTempPred_
"MWST_2008, MWST_2009, MWST_2013, MWST_2014 - Predicted reference-condition mean winter stream temperatures. These temperatures are predictions of what stream temperatures could be under minimal human-related alterations to watersheds - not current conditions",C°,Natural,Climate,Watershed,"PRISM Climate Group, Oregon State University, http://prism.oregonstate.edu, accessed June - November 2016; Predictions made by applying a random forest model developed by Hill et al. (2013)",RefStreamTempPred_
"PctFire<year>Cat, PctFire<year>Ws –   % Forest loss to fire (fire perimeter) for each year (2000 to 2010) within catchment (Cat) or upstream watershed (Ws).",%,Disturbance ,Disturbance,Watershed,,FirePerimeters_
"PctFrstLoss<year>Cat, PctFrstLoss<year>Ws –  % tree canopy cover loss between years 2000-2013, within the local catchment (Cat) and upstream watershed (Ws).",%,Disturbance ,Disturbance,Watershed,"Hansen, M. C., P. V. Potapov, R. Moore, M. Hancher, S. A. Turubanova, A. Tyukavina, D. Thau, S. V. Stehman, S. J. Goetz, T. R. Loveland, A. Kommareddy, A. Egorov, L. Chini, C. O. Justice, and J. R. G. Townshend. 2013. “High-Resolution Global Maps of 21st-Century Forest Cover Change.” Science 342 (15 November): 850–53. Data available on-line from: http://earthenginepartners.appspot.com/science-2013-global-forest.",ForestLoss0013_
"PctNonAgIntrodManagVegCat, PctNonAgIntrodManagVegWs – % Nonnative vegetation landcover type reclassed from LANDFIRE Existing Vegetation Type (EVT), within catchment (Cat) and upstream watershed (Ws). ",%,Disturbance ,Disturbance,Watershed,"LANDFIRE. [Homepage of the LANDFIRE Program, U.S. Department of Agriculture, Forest Service; U.S. Department of the Interior], [Online]. Available: http://www.landfire.gov/vegetation.php [2015, January 01]",NonAgIntrodManagVeg_
"RunoffCat, RunoffWs – Mean of all runoff values within the local catchment (Cat) and upstream watershed (Ws).",mm,Natural,Hydrology,Watershed,Carlisle et al. 2009,Runoff_
"BFICat, BFIWs – Bfi is the ratio of base flow to total flow, expressed as a percentage.  %, within the local catchment (Cat) and upstream watershed (Ws).",%,Natural,hydrology,Watershed,"Wolock, D. M., 2003. Base-flow index grid for the conterminous United States. US Geological Survey Open-File Report 03-263.",BFI_
"CanalDensCat, CanalDensWs – Density of NHDPlus line features classified as canal, ditch, or pipeline within the local catchment (Cat) and upstream watershed (Ws). ",km/km2,Disturbance,Infrastructure,Watershed,Falcone et al. 2010,CanalDensity_
"PctImpCat, PctImpWs – Mean of imp2006 values within the local catchment (Cat) and upstream watershed (Ws).",%,Disturbance,Infrastructure,Watershed,Carlisle et al. 2009,ImperviousSurfaces2006_
"DamDensCat, DamDensWs – Density of georeferenced dams within the local catchment (Cat) and upstream watershed (Ws).",dams/km2,Disturbance,Infrastructure,Watershed,Wang et al. 2011,Dams_
"DamNrmStorCat, DamNrmStorWs – Volume all reservoirs (NORM_STORA in NID) per unit area of the local catchment (Cat) and upstream watershed (Ws). ",m3/km2,Disturbance,Infrastructure,Watershed,Falcone et al. 2010,Dams_
"DamNIDStorCat, DamNIDStorWs –  Volume all reservoirs (NID_STORA in NID) per unit area of the local catchment (Cat) and upstream watershed (Ws). ",m3/km2,Disturbance,Infrastructure,Watershed,Falcone et al. 2010,Dams_
"RdDensCat, RdDensWs – Mean of all rddens values within the local catchment (Cat) and upstream watershed (Ws).",km/km2,Disturbance,Infrastructure,Watershed,Falcone et al. 2010,RoadDensity_
"RdDensCat, RdDensWs – Mean of all rddens values within the local catchment (Cat) and upstream watershed (Ws).",km/km2,Disturbance,Infrastructure,Watershed,Falcone et al. 2010,RoadDensity_
"RdCrsCat, RdCrsWs – Sum of all rdstrcrs values within the local catchment (Cat) and upstream watershed (Ws) divided by the area of each Cat and Ws.",crossings/km2,Disturbance,Infrastructure,Watershed,Carlisle et al. 2009,RoadStreamCrossings_
"RdCrsSlpWtdCat, RdCrsSlpWtdWs – Sum of all rdstrcrs values within the local catchment (Cat) and upstream watershed (Ws) multiplied by NHDPlusV21 slope and  divided by the area of each Cat and Ws.",crossings * slope/km2,Disturbance,Infrastructure,Watershed,Carlisle et al. 2009,RoadStreamCrossings_
"NABD_DensCat, NABD_DensWs – Density of georeferenced dams within the local catchment (Cat) and upstream watershed (Ws).",dams/km2,Disturbance,Infrastructure,Watershed,"Ostroff A., D. Wieferich, A. Cooper, D. Infante. (March 2013) 2012 National Anthropogenic Barrier Dataset (NABD). National Fish Habitat Partnership Data System.  http://dx.doi.org/doi:10.5066/F7VX0DFG",NABD_
"NABD_NrmStorCat, NABD_NrmStorWs – Volume of all reservoirs (Norm_stor in NABD) per unit area of the local catchment (Cat) and upstream watershed (Ws). ",m3/km2,Disturbance,Infrastructure,Watershed,"Ostroff A., D. Wieferich, A. Cooper, D. Infante. (March 2013) 2012 National Anthropogenic Barrier Dataset (NABD). National Fish Habitat Partnership Data System. http://dx.doi.org/doi:10.5066/F7VX0DFG",NABD_
"NABD_NIDStorCat, NABD_NIDStorWs – Volume of all reservoirs (NID_stor in NABD) per unit area of the local catchment (Cat) and upstream watershed (Ws). ",m3/km2,Disturbance,Infrastructure,Watershed,"Ostroff A., D. Wieferich, A. Cooper, D. Infante. (March 2013) 2012 National Anthropogenic Barrier Dataset (NABD). National Fish Habitat Partnership Data System. http://dx.doi.org/doi:10.5066/F7VX0DFG",NABD_
"PctDecid2006Cat, PctDecid2006Ws – % of the local catchment (Cat) and upstream watershed (Ws) areas classified as deciduous forest land cover. Derived from the nlcd2006.tif  (class 41) landscape raster.",%,Natural,Land Cover,Watershed,Wang et al. 2011,NLCD2006_
"PctDecid2006CatRp100, PctDecid2006WsRp100 - % of the local catchment (Cat) and upstream watershed (Ws) classified as deciduous forest land cover within a 100-m wide buffer of the NHD stream lines (Rp100). Derived as the intersection between RipBuf100 and nlcd2006.tif (class 41) landscape layers.",%,Natural,Land Cover,Riparian,Wang et al. 2011,NLCD2006_RipBuf100_
"PctConif2006Cat, PctConif2006Ws – % of the local catchment (Cat) and upstream watershed (Ws) areas classified as evergreen forest land cover. Derived from the nlcd2006.tif  (class 42) landscape raster.",%,Natural,Land Cover,Watershed,Wang et al. 2011,NLCD2006_
"PctConif2006CatRp100, PctConif2006WsRp100 - % of the local catchment (Cat) and upstream watershed (Ws) classified as evergreen forest land cover within a 100-m wide buffer of the NHD stream lines (Rp100). Derived as the intersection between RipBuf100 and nlcd2006.tif (class 42) landscape layers.",%,Natural,Land Cover,Riparian,Wang et al. 2011,NLCD2006_RipBuf100_
"PctMxFst2006Cat, PctMxFst2006Ws – % of the local catchment (Cat) and upstream watershed (Ws) areas classified as mixed deciduous/evergreen forest land cover. Derived from the nlcd2006.tif  (class 43) landscape raster.",%,Natural,Land Cover,Watershed,Wang et al. 2011,NLCD2006_
"PctMxFst2006CatRp100, PctMxFst2006WsRp100 - % of the local catchment (Cat) and upstream watershed (Ws) classified as mixed deciduous/evergreen forest land cover within a 100-m wide buffer of the NHD stream lines (Rp100). Derived as the intersection between RipBuf100 and nlcd2006.tif (class 43) landscape layers.",%,Natural,Land Cover,Riparian,"Wang et al. 2011, Carlisle et al. 2009",NLCD2006_RipBuf100_
"PctBl2006Cat, PctBl2006Ws – % of the local catchment (Cat) and upstream watershed (Ws) areas classified as areas of bedrock, desert pavement, scarps, talus, slides, volcanic materical, glacial debris, sand dunes, strip mines, gravel pits, and other accumulations of earthen material. Derived from the nlcd2006.tif  (class 31) landscape raster.",%,Natural,Land Cover,Watershed,Wang et al. 2011,NLCD2006_
"PctBl2006CatRp100, PctBl2006WsRp100 - % of the local catchment (Cat) and upstream watershed (Ws) classified as areas of bedrock, desert pavement, scarps, talus, slides, volcanic materical, glacial debris, sand dunes, strip mines, gravel pits, and other accumulations of earthen material within a 100-m wide buffer of the NHD stream lines (Rp100). Derived as the intersection between RipBuf100 and nlcd2006.tif (class 31) landscape layers.",%,Natural,Land Cover,Riparian,Wang et al. 2011,NLCD2006_RipBuf100_
"PctOw2006Cat, PctOw2006Ws – % of the local catchment (Cat) and upstream watershed (Ws) areas classified as open water land cover. Derived from the nlcd2006.tif  (class 11) landscape raster.",%,Natural,Land Cover,Watershed,Wang et al. 2011,NLCD2006_
"PctOw2006CatRp100, PctOw2006WsRp100 - % of the local catchment (Cat) and upstream watershed (Ws) classified as open water land cover within a 100-m wide buffer of the NHD stream lines (Rp100). Derived as the intersection between RipBuf100 and nlcd2006.tif (class 11) landscape layers.",%,Natural,Land Cover,Riparian,Wang et al. 2011,NLCD2006_RipBuf100_
"PctIce2006Cat, PctIce2006Ws – % of the local catchment (Cat) and upstream watershed (Ws) areas classified as ice/snow land cover. Derived from the nlcd2006.tif  (class 12) landscape raster.",%,Natural,Land Cover,Watershed,Wang et al. 2011,NLCD2006_
"PctIce2006CatRp100, PctIce2006WsRp100 - % of the local catchment (Cat) and upstream watershed (Ws) classified as ice/snow land cover within a 100-m wide buffer of the NHD stream lines (Rp100). Derived as the intersection between RipBuf100 and nlcd2006.tif (class 12) landscape layers.",%,Natural,Land Cover,Riparian,Wang et al. 2011,NLCD2006_RipBuf100_
"PctHbWet2006Cat, PctHbWet2006Ws – % of the local catchment (Cat) and upstream watershed (Ws) areas classified as herbaceous wetland land cover. Derived from the nlcd2006.tif  (class 95) landscape raster.",%,Natural,Land Cover,Watershed,Wang et al. 2011,NLCD2006_
"PctHbWet2006CatRp100, PctHbWet2006WsRp100 - % of the local catchment (Cat) and upstream watershed (Ws) classified as emergent herbaceous wetland land cover within a 100-m wide buffer of the NHD stream lines (Rp100). Derived as the intersection between RipBuf100 and nlcd2006.tif (class 95) landscape layers.",%,Natural,Land Cover,Riparian,Wang et al. 2011,NLCD2006_RipBuf100_
"PctWdWet2006Cat, PctWdWet2006Ws – % of the local catchment (Cat) and upstream watershed (Ws) areas classified as woody wetland land cover. Derived from the nlcd2006.tif  (class 90) landscape raster.",%,Natural,Land Cover,Watershed,Wang et al. 2011,NLCD2006_
"PctWdWet2006CatRp100, PctWdWet2006WsRp100 - % of the local catchment (Cat) and upstream watershed (Ws) classified as woody wetland land cover within a 100-m wide buffer of the NHD stream lines (Rp100). Derived as the intersection between RipBuf100 and nlcd2006.tif (class 90) landscape layers.",%,Natural,Land Cover,Riparian,Wang et al. 2011,NLCD2006_RipBuf100_
