Landscape Metrics,Units,Class,Metric Type,Scale,Reference,StreamCat Table Name
"PctIce2001CatRp100, PctIce2001WsRp100 - % of the local catchment (Cat) and upstream watershed (Ws) classified as ice/snow land cover within a 100-m wide buffer of the NHD stream lines (Rp100). Derived as the intersection between RipBuf100 and nlcd2001.tif (class 12) landscape layers.",%,Natural,Land Cover,Riparian,"Homer, C., Dewitz, J., Fry, J., Coan, M., Hossain, N., Larson, C., Herold, N., McKerrow, A., VanDriel, J.N., and Wickham, J. 2007. Completion of the 2001 National Land Cover Database for the Conterminous United States. Photogrammetric Engineering and Remote Sensing, Vol. 73, No. 4, pp 337-341. ",NLCD2001_RipBuf100_
"PctHbWet2001Cat, PctHbWet2001Ws – % of the local catchment (Cat) and upstream watershed (Ws) areas classified as herbaceous wetland land cover. Derived from the nlcd2001.tif  (class 95) landscape raster.",%,Natural,Land Cover,Watershed,"Homer, C., Dewitz, J., Fry, J., Coan, M., Hossain, N., Larson, C., Herold, N., McKerrow, A., VanDriel, J.N., and Wickham, J. 2007. Completion of the 2001 National Land Cover Database for the Conterminous United States. Photogrammetric Engineering and Remote Sensing, Vol. 73, No. 4, pp 337-341. ",NLCD2001_
"PctHbWet2001CatRp100, PctHbWet2001WsRp100 - % of the local catchment (Cat) and upstream watershed (Ws) classified as emergent herbaceous wetland land cover within a 100-m wide buffer of the NHD stream lines (Rp100). Derived as the intersection between RipBuf100 and nlcd2001.tif (class 95) landscape layers.",%,Natural,Land Cover,Riparian,"Homer, C., Dewitz, J., Fry, J., Coan, M., Hossain, N., Larson, C., Herold, N., McKerrow, A., VanDriel, J.N., and Wickham, J. 2007. Completion of the 2001 National Land Cover Database for the Conterminous United States. Photogrammetric Engineering and Remote Sensing, Vol. 73, No. 4, pp 337-341. ",NLCD2001_RipBuf100_
"PctWdWet2001Cat, PctWdWet2001Ws – % of the local catchment (Cat) and upstream watershed (Ws) areas classified as woody wetland land cover. Derived from the nlcd2001.tif  (class 90) landscape raster.",%,Natural,Land Cover,Watershed,"Homer, C., Dewitz, J., Fry, J., Coan, M., Hossain, N., Larson, C., Herold, N., McKerrow, A., VanDriel, J.N., and Wickham, J. 2007. Completion of the 2001 National Land Cover Database for the Conterminous United States. Photogrammetric Engineering and Remote Sensing, Vol. 73, No. 4, pp 337-341. ",NLCD2001_
"PctWdWet2001CatRp100, PctWdWet2001WsRp100 - % of the local catchment (Cat) and upstream watershed (Ws) classified as woody wetland land cover within a 100-m wide buffer of the NHD stream lines (Rp100). Derived as the intersection between RipBuf100 and nlcd2001.tif (class 90) landscape layers.",%,Natural,Land Cover,Riparian,"Homer, C., Dewitz, J., Fry, J., Coan, M., Hossain, N., Larson, C., Herold, N., McKerrow, A., VanDriel, J.N., and Wickham, J. 2007. Completion of the 2001 National Land Cover Database for the Conterminous United States. Photogrammetric Engineering and Remote Sensing, Vol. 73, No. 4, pp 337-341. ",NLCD2001_RipBuf100_
"PctShrb2001Cat, PctShrb2001Ws – % of the local catchment (Cat) and upstream watershed (Ws) areas classified as shrub/scrub land cover. Derived from the nlcd2001.tif  (class 52) landscape raster.",%,Natural,Land Cover,Watershed,"Homer, C., Dewitz, J., Fry, J., Coan, M., Hossain, N., Larson, C., Herold, N., McKerrow, A., VanDriel, J.N., and Wickham, J. 2007. Completion of the 2001 National Land Cover Database for the Conterminous United States. Photogrammetric Engineering and Remote Sensing, Vol. 73, No. 4, pp 337-341. ",NLCD2001_
"PctShrb2001CatRp100, PctShrb2001WsRp100 - % of the local catchment (Cat) and upstream watershed (Ws) classified as shrub/scrub land cover within a 100-m wide buffer of the NHD stream lines (Rp100). Derived as the intersection between RipBuf100 and nlcd2001.tif (class 52) landscape layers.",%,Natural,Land Cover,Riparian,"Homer, C., Dewitz, J., Fry, J., Coan, M., Hossain, N., Larson, C., Herold, N., McKerrow, A., VanDriel, J.N., and Wickham, J. 2007. Completion of the 2001 National Land Cover Database for the Conterminous United States. Photogrammetric Engineering and Remote Sensing, Vol. 73, No. 4, pp 337-341. ",NLCD2001_RipBuf100_
"PctGrs2001Cat, PctGrs2001Ws – % of the local catchment (Cat) and upstream watershed (Ws) areas classified as grassland/herbaceous land cover. Derived from the nlcd2001.tif  (class 71) landscape raster.",%,Natural,Land Cover,Watershed,"Homer, C., Dewitz, J., Fry, J., Coan, M., Hossain, N., Larson, C., Herold, N., McKerrow, A., VanDriel, J.N., and Wickham, J. 2007. Completion of the 2001 National Land Cover Database for the Conterminous United States. Photogrammetric Engineering and Remote Sensing, Vol. 73, No. 4, pp 337-341. ",NLCD2001_
"PctGrs2001CatRp, PctGrs2001WsRp – % of the local catchment (Cat) and upstream watershed (Ws) areas classified as grassland/herbaceous land cover. Derived from the nlcd2001.tif  (class 71) landscape raster.",%,Natural,Land Cover,Riparian,"Homer, C., Dewitz, J., Fry, J., Coan, M., Hossain, N., Larson, C., Herold, N., McKerrow, A., VanDriel, J.N., and Wickham, J. 2007. Completion of the 2001 National Land Cover Database for the Conterminous United States. Photogrammetric Engineering and Remote Sensing, Vol. 73, No. 4, pp 337-341. ",NLCD2001_RipBuf100_
"CHYD, WHYD - Hydrologic regulation component score using catchment or watershed StreamCat metrics, respectively (see Reference for full list of metrics). ",NA,Disturbance,Land Use Index,NHD catchment and full-upstream watershed,"ICI/IWI applied to StreamCat data with methods described in: Thornbrugh, D.J., Leibowitz, S.G., Hill, R.A., Weber, M.H., Johnson, S.C., Olsen, A.R., Flotemersch, J.E., Stoddard, J.L., and Peck, D.V. (accepted), Mapping watershed integrity for the conterminous United State. Ecological Indicators.",ICI_IWI_v1
"CCHEM, WCHEM - Regulation of water chemistry component score calculated using catchment or watershed StreamCat metrics, respectively (see Reference for full list of metrics). ",NA,Disturbance,Land Use Index,NHD catchment and full-upstream watershed,"ICI/IWI applied to StreamCat data with methods described in: Thornbrugh, D.J., Leibowitz, S.G., Hill, R.A., Weber, M.H., Johnson, S.C., Olsen, A.R., Flotemersch, J.E., Stoddard, J.L., and Peck, D.V. (accepted), Mapping watershed integrity for the conterminous United State. Ecological Indicators.",ICI_IWI_v1
"CSED, WSED - Sediment regulation component score calculated using catchment metrics catchment or watershed StreamCat metrics, respectively (see Reference for full list of metrics). ",NA,Disturbance,Land Use Index,NHD catchment and full-upstream watershed,"ICI/IWI applied to StreamCat data with methods described in: Thornbrugh, D.J., Leibowitz, S.G., Hill, R.A., Weber, M.H., Johnson, S.C., Olsen, A.R., Flotemersch, J.E., Stoddard, J.L., and Peck, D.V. (accepted), Mapping watershed integrity for the conterminous United State. Ecological Indicators.",ICI_IWI_v1
"CCONN, WCONN - Hydrologic connectivity component score calculated using catchment metrics catchment or watershed StreamCat metrics, respectively (see Reference for full list of metrics). ",NA,Disturbance,Land Use Index,NHD catchment and full-upstream watershed,"ICI/IWI applied to StreamCat data with methods described in: Thornbrugh, D.J., Leibowitz, S.G., Hill, R.A., Weber, M.H., Johnson, S.C., Olsen, A.R., Flotemersch, J.E., Stoddard, J.L., and Peck, D.V. (accepted), Mapping watershed integrity for the conterminous United State. Ecological Indicators.",ICI_IWI_v1
"CTEMP, WTEMP - Temperature regulation component score calculated using catchment metrics catchment or watershed StreamCat metrics, respectively (see Reference for full list of metrics). ",NA,Disturbance,Land Use Index,NHD catchment and full-upstream watershed,"ICI/IWI applied to StreamCat data with methods described in: Thornbrugh, D.J., Leibowitz, S.G., Hill, R.A., Weber, M.H., Johnson, S.C., Olsen, A.R., Flotemersch, J.E., Stoddard, J.L., and Peck, D.V. (accepted), Mapping watershed integrity for the conterminous United State. Ecological Indicators.",ICI_IWI_v1
"CHABT, WHABT - Habitat provision component score calculated using catchment metrics catchment or watershed StreamCat metrics, respectively(see Reference for full list of metrics). ",NA,Disturbance,Land Use Index,NHD catchment and full-upstream watershed,"ICI/IWI applied to StreamCat data with methods described in: Thornbrugh, D.J., Leibowitz, S.G., Hill, R.A., Weber, M.H., Johnson, S.C., Olsen, A.R., Flotemersch, J.E., Stoddard, J.L., and Peck, D.V. (accepted), Mapping watershed integrity for the conterminous United State. Ecological Indicators.",ICI_IWI_v1
"ICI, IWI - Indices of catchment and watershed integrity. Respectively calculated from CHYD, CCHEM, CSED, CCONN, CTEMP, CHABT,WHYD, WCHEM, WSED, WCONN, WTEMP, and WHABT.",NA,Disturbance,Land Use Index,NHD catchment and full-upstream watershed,"ICI/IWI applied to StreamCat data with methods described in: Thornbrugh, D.J., Leibowitz, S.G., Hill, R.A., Weber, M.H., Johnson, S.C., Olsen, A.R., Flotemersch, J.E., Stoddard, J.L., and Peck, D.V. (accepted), Mapping watershed integrity for the conterminous United State. Ecological Indicators.",ICI_IWI_v1
"PctCarbResidCat, PctCarbResidWs – % of the local catchment (Cat) and upstream watershed (Ws) classified as lithology type: carbonate residual material. Derived from the us_lithology_1km.tif  (class 1) landscape raster.",%,Natural,Lithology,Watershed,Wang et al. 2011,Lithology_
"PctNonCarbResidCat, PctNonCarbResidWs – % of the local catchment (Cat) and upstream watershed (Ws) classified as lithology type: non-carbonate residual material. Derived from the us_lithology_1km.tif  (class 3) landscape raster.",%,Natural,Lithology,Watershed,Wang et al. 2011,Lithology_
"PctAlkIntruVolCat, PctAlkIntruVolWs – % of the upstream watershed area classified as lithology type: alkaline intrusive volcanic rock. Derived from the us_lithology_1km.tif  (class 4) landscape raster.",%,Natural,Lithology,Watershed,Wang et al. 2011,Lithology_
"PctSilicicCat, PctSilicicWs – % of the local catchment (Cat) and upstream watershed (Ws) classified as lithology type: silicic residual material. Derived from the us_lithology_1km.tif  (class 5) landscape raster.",%,Natural,Lithology,Watershed,Wang et al. 2011,Lithology_
"PctExtruVolCat, PctExtruVolWs – % of the local catchment (Cat) and upstream watershed (Ws) classified as lithology type: extrusive volcanic rock. Derived from the us_lithology_1km.tif  (class 7) landscape raster.",%,Natural,Lithology,Watershed,Wang et al. 2011,Lithology_
"PctColluvSedCat, PctColluvSedWs – % of the local catchment (Cat) and upstream watershed (Ws) classified as lithology type: colluvial sediment. Derived from the us_lithology_1km.tif  (class 8) landscape raster.",%,Natural,Lithology,Watershed,Wang et al. 2011,Lithology_
"PctGlacTilClayCat, PctGlacTilClayWs – % of the local catchment (Cat) and upstream watershed (Ws) classified as lithology type: glacial till, clayey. Derived from the us_lithology_1km.tif (class 9) landscape raster.",%,Natural,Lithology,Watershed,Wang et al. 2011,Lithology_
"PctGlacTilLoamCat, PctGlacTilLoamWs – % of the local catchment (Cat) and upstream watershed (Ws) classified as lithology type: glacial till, loamy. Derived from the us_lithology_1km.tif (class 10) landscape raster.",%,Natural,Lithology,Watershed,Wang et al. 2011,Lithology_
"PctGlacTilCrsCat, PctGlacTilCrsWs – % of the local catchment (Cat) and upstream watershed (Ws) classified as lithology type: glacial till, coarse-textured. Derived from the us_lithology_1km.tif  (class 11) landscape raster.",%,Natural,Lithology,Watershed,Wang et al. 2011,Lithology_
"PctGlacLakeCrsCat, PctGlacLakeCrsWs – % of the local catchment (Cat) and upstream watershed (Ws) classified as lithology type: glacial outwash and glacial lake sediment, coarse-textured. Derived from the us_lithology_1km.tif  (classes 12 & 14) landscape raster.",%,Natural,Lithology,Watershed,Wang et al. 2011,Lithology_
"PctGlacLakeFineCat, PctGlacLakeFineWs – % of the local catchment (Cat) and upstream watershed (Ws) classified as lithology type: glacial lake sediment, fine-textured. Derived from the us_lithology_1km.tif  (classes 13) landscape raster.",%,Natural,Lithology,Watershed,Wang et al. 2011,Lithology_
"PctHydricCat, PctHydricWs – % of the local catchment (Cat) and upstream watershed (Ws) classified as lithology type: hydric, peat and muck. Derived from the us_lithology_1km.tif  (classes 15) landscape raster.",%,Natural,Lithology,Watershed,Wang et al. 2011,Lithology_
"PctEolCrsCat, PctEolCrsWs – % of the local catchment (Cat) and upstream watershed (Ws) classified as lithology type: eolian sediment, coarse-textured (sand dunes). Derived from the us_lithology_1km.tif  (classes 16) landscape raster.",%,Natural,Lithology,Watershed,Wang et al. 2011,Lithology_
"PctEolFineCat, PctEolFineWs – % of the local catchment (Cat) and upstream watershed (Ws) classified as lithology type: eolian sediment, fine-textured (glacial loess). Derived from the us_lithology_1km.tif  (classes 17) landscape raster.",%,Natural,Lithology,Watershed,Wang et al. 2011,Lithology_
"PctSalLakeCat, PctSalLakeWs – % of the local catchment (Cat) and upstream watershed (Ws) classified as lithology type: saline like sediment. Derived from the us_lithology_1km.tif  (classes 18) landscape raster.",%,Natural,Lithology,Watershed,Wang et al. 2011,Lithology_
"PctAlluvCoastCat, PctAlluvCoastWs – % of the local catchment (Cat) and upstream watershed (Ws) classified as lithology type: alluvium and fine-textured coastal zone sediment. Derived from the us_lithology_1km.tif  (classes 19) landscape raster.",%,Natural,Lithology,Watershed,Wang et al. 2011,Lithology_
"PctCoastCrsCat, PctCoastCrsWs – % of the local catchment (Cat) and upstream watershed (Ws) classified as lithology type: coastal zone sediment, coarse-textured. Derived from the us_lithology_1km.tif  (classes 20) landscape raster.",%,Natural,Lithology,Watershed,Wang et al. 2011,Lithology_
"PctWaterCat, PctWaterWs – % of the local catchment (Cat) and upstream watershed (Ws) classified as lithology type: water. Derived from the us_lithology_1km.tif  (classes 22) landscape raster.",%,Natural,Lithology,Watershed,Wang et al. 2011,Lithology_
"Al2O3Cat, Al2O3Ws – Mean of all Al2O3 values within the local catchment (Cat) and upstream watershed (Ws).",%,Natural,Lithology,Watershed,"Olson, J.R. and Hawkins, C.P., 2014, Geochemical Characteristics of the Conterminous United States: U.S. Geological Survey data release, http://dx.doi.org/10.5066/F7X0653P",GeoChemPhys1_
"CaOCat, CaOWs – Mean of all CaO values within the local catchment (Cat) and upstream watershed (Ws).",%,Natural,Lithology,Watershed,"Olson, J.R. and Hawkins, C.P., 2014, Geochemical Characteristics of the Conterminous United States: U.S. Geological Survey data release, http://dx.doi.org/10.5066/F7X0653P",GeoChemPhys1_
"Fe2O3Cat, Fe2O3Ws – Mean of all Fe2O3 values within the local catchment (Cat) and upstream watershed (Ws).",%,Natural,Lithology,Watershed,"Olson, J.R. and Hawkins, C.P., 2014, Geochemical Characteristics of the Conterminous United States: U.S. Geological Survey data release, http://dx.doi.org/10.5066/F7X0653P",GeoChemPhys1_
"K2OCat, K2OWs – Mean of all K2O values within the local catchment (Cat) and upstream watershed (Ws).",%,Natural,Lithology,Watershed,"Olson, J.R. and Hawkins, C.P., 2014, Geochemical Characteristics of the Conterminous United States: U.S. Geological Survey data release, http://dx.doi.org/10.5066/F7X0653P",GeoChemPhys1_
"MgOCat, MgOWs – Mean of all MgO values within the local catchment (Cat) and upstream watershed (Ws).",%,Natural,Lithology,Watershed,"Olson, J.R. and Hawkins, C.P., 2014, Geochemical Characteristics of the Conterminous United States: U.S. Geological Survey data release, http://dx.doi.org/10.5066/F7X0653P",GeoChemPhys1_
"Na2OCat, Na2OWs – Mean of all Na2O values within the local catchment (Cat) and upstream watershed (Ws).",%,Natural,Lithology,Watershed,"Olson, J.R. and Hawkins, C.P., 2014, Geochemical Characteristics of the Conterminous United States: U.S. Geological Survey data release, http://dx.doi.org/10.5066/F7X0653P",GeoChemPhys1_
"P2O5Cat, P2O5Ws – Mean of all P2O5 values within the local catchment (Cat) and upstream watershed (Ws).",%,Natural,Lithology,Watershed,"Olson, J.R. and Hawkins, C.P., 2014, Geochemical Characteristics of the Conterminous United States: U.S. Geological Survey data release, http://dx.doi.org/10.5066/F7X0653P",GeoChemPhys1_
"SCat,SWs – Mean of all S values within the local catchment (Cat) and upstream watershed (Ws).",%,Natural,Lithology,Watershed,"Olson, J.R. and Hawkins, C.P., 2014, Geochemical Characteristics of the Conterminous United States: U.S. Geological Survey data release, http://dx.doi.org/10.5066/F7X0653P",GeoChemPhys1_
"SiO2Cat,SiO2Ws – Mean of all SiO2 values within the local catchment (Cat) and upstream watershed (Ws).",%,Natural,Lithology,Watershed,"Olson, J.R. and Hawkins, C.P., 2014, Geochemical Characteristics of the Conterminous United States: U.S. Geological Survey data release, http://dx.doi.org/10.5066/F7X0653P",GeoChemPhys1_
"NCat,NWs – Mean of all N values within the local catchment (Cat) and upstream watershed (Ws).",%,Natural,Lithology,Watershed,"Olson, J.R. and Hawkins, C.P., 2014, Geochemical Characteristics of the Conterminous United States: U.S. Geological Survey data release, http://dx.doi.org/10.5066/F7X0653P",GeoChemPhys2_
"HydrlCondCat,HydrlCondWs – Mean of all HydrlCond values within the local catchment (Cat) and upstream watershed (Ws).",%,Natural,Lithology,Watershed,"Olson, J.R. and Hawkins, C.P., 2014, Geochemical Characteristics of the Conterminous United States: U.S. Geological Survey data release, http://dx.doi.org/10.5066/F7X0653P",GeoChemPhys3_
"CompStrgthCat,CompStrgthWs – Mean of all CompStrgth values within the local catchment (Cat) and upstream watershed (Ws).",%,Natural,Lithology,Watershed,"Olson, J.R. and Hawkins, C.P., 2014, Geochemical Characteristics of the Conterminous United States: U.S. Geological Survey data release, http://dx.doi.org/10.5066/F7X0653P",GeoChemPhys4_
"CoalMineDensCat, CoalMineDensWs – Density of georeferenced coal mine sites (USTRAT.shp) within the local catchment (Cat) and upstream watershed (Ws).",sites/km2,Disturbance,mines,Watershed,"U.S. Geological Survey National Coal Resources Data System UStratigraphic (USTRAT) database, http://energy.usgs.gov/Tools/NationalCoalResourcesDataSystem.aspx. Accessed 03/03/2015.",CoalMines_
"NPDESDensCat, NPDESDensWs – Density of georeferenced NPDES sites (NPDES_Major.shp) within the local catchment (Cat) and upstream watershed (Ws).",sites/km2,Disturbance,Pollution,Watershed,Wang et al. 2011,EPA_FRS_
"NPDESDensCatRp100, NPDESDensWsRp100 – Density of georeferenced NPDES sites (NPDES_Major.shp) within the local catchment (Cat) and upstream watershed (Ws) within a 100-m buffer (Rp100) of the NHD stream lines. Derived as the intersection between RpRp100 and NPDES_Major.shp landscape layers.",sites/km2,Disturbance,Pollution,Riparian,Wang et al. 2011,EPA_FRS_
"TRIDensCat, TRIDensWs – Density of georeferenced Toxic Release Inventory sites (TRI.shp) within the local catchment (Cat) and upstream watershed (Ws).",sites/km2,Disturbance,Pollution,Watershed,Wang et al. 2011,EPA_FRS_
"TRIDensCatRp100, TRIDensWsRp100 – Density of georeferenced Toxic Release Inventory sites (TRI.shp) within the local catchment (Cat) and upstream watershed (Ws) within a 100-m buffer (Rp100) of the NHD stream lines. Derived as the intersection between RpRp100 and TRI.shp landscape layers.",sites/km2,Disturbance,Pollution,Riparian,Wang et al. 2011,EPA_FRS_
"SuperfundDensCat, SuperfundDensWs – Density of georeferenced Superfund sites (Superfund.shp) within the local catchment (Cat) and upstream watershed (Ws).",sites/km2,Disturbance,Pollution,Watershed,Wang et al. 2011,EPA_FRS_
"SuperfundDensCatRp100, SuperfundDensWsRp100 – Density of georeferenced Superfund sites (Superfund.shp) within the local catchment (Cat) and upstream watershed (Ws) within a 100-m buffer (Rp100) of the NHD stream lines. Derived as the intersection between RpRp100 and Superfund.shp landscape layers.",sites/km2,Disturbance,Pollution,Riparian,Wang et al. 2011,EPA_FRS_
"MineDensCat, MineDensWs – Density of georeferenced mine sites (mines.shp) within the local catchment (Cat) and upstream watershed (Ws).",sites/km2,Disturbance,Pollution,Watershed,Wang et al. 2011,Mines_
"MineDensCatRp100, MineDensWsRp100 – Density of georeferenced mine sites (mines.shp) within the local catchment (Cat) and upstream watershed (Ws) within a 100-m buffer (Rp100) of the NHD stream lines. Derived as the intersection between RpRp100 and mines.shp landscape layers.",sites/km2,Disturbance,Pollution,Riparian,Wang et al. 2011,Mines_
"Pestic97Cat, Pestic97Ws – Mean of all pestic.tif values within the local catchment (Cat) and upstream watershed (Ws).",kg/km2,Disturbance,Pollution,Watershed,Falcone et al. 2010,Pesticide_
"NH4_2008Cat, NH4_2008Ws – Annual average of preciptiation-weighted mean deposition for ammonium ion concentration for year, 2008, within the local catchment (Cat) and upstream watershed (Ws).",kg/ha/yr,Disturbance ,Pollution,Watershed,"National Atmospheric Deposition Program (NRSP-3). 2007. NADP Program Office, Illinois State Water Survey, 2204 Griffith Dr., Champaign, IL 61820.",NADP_
"NO3_2008Cat, NO3_2008Ws – Annual average of preciptiation-weighted mean deposition for nitrate ion concentration for year, 2008, within the local catchment (Cat) and upstream watershed (Ws).",kg/ha/yr,Disturbance ,Pollution,Watershed,"National Atmospheric Deposition Program (NRSP-3). 2007. NADP Program Office, Illinois State Water Survey, 2204 Griffith Dr., Champaign, IL 61820.",NADP_
