Landscape Metrics,Units,Class,Metric Type,Scale,Reference,StreamCat Table Name
"InorgNWetDep_2008Cat, InorgNWetDep_2008Ws – Annual average of preciptiation-weighted mean wet deposition for inorganic nitrogen concentration from nitrate and ammonium for year, 2008, within the local catchment (Cat) and upstream watershed (Ws).",kg/ha/yr,Disturbance ,Pollution,Watershed,"National Atmospheric Deposition Program (NRSP-3). 2007. NADP Program Office, Illinois State Water Survey, 2204 Griffith Dr., Champaign, IL 61820.",NADP_
"SN_2008Cat, SN_2008Ws – Annual average of preciptiation-weighted mean deposition for average sulfur & nitrogen concentration for year, 2008, within the local catchment (Cat) and upstream watershed (Ws).",kg/ha/yr,Disturbance ,Pollution,Watershed,"National Atmospheric Deposition Program (NRSP-3). 2007. NADP Program Office, Illinois State Water Survey, 2204 Griffith Dr., Champaign, IL 61820.",NADP_
"CBNFCat, CBNFWs – Mean rate of biological nitrogen fixation from the cultivation of crops in kg N/ha/yr, within the local catchment (Cat) and upstream watershed (Ws).",mean rate kg N/ha/yr,Disturbance ,Pollution,Watershed,Daniel Sobota,AgriculturalNitrogen_
"ManureCat, ManureWs – Mean rate of manure application to agricultural land from confined animal feeding operations in kg N/ha/yr, within the local catchment (Cat) and upstream watershed (Ws).",mean rate kg N/ha/yr,Disturbance ,Pollution,Watershed,Daniel Sobota,AgriculturalNitrogen_
"FertCat, FertWs – Mean rate of synthetic nitrogen fertilizer application to agricultural land in kg N/ha/yr, within the local catchment (Cat) and upstream watershed (Ws).",mean rate kg N/ha/yr,Disturbance ,Pollution,Watershed,Daniel Sobota,AgriculturalNitrogen_
"PctFire<year>Rp100Cat, PctFire<year>Rp100Ws –   % Forest loss to fire (fire perimeter) for each year (2000 to 2010) within catchment (Cat) or upstream watershed (Ws) and within 100-m buffer of NHD stream lines (Rp100).",%,Disturbance ,Riparian,Watershed,,FirePerimetersRipBuf100_
"PctFrstLoss<year>CatRp100, PctFrstLoss<year>WsRp100 –  % tree canopy cover loss between years 2000-2013, within the local catchment (Cat) and upstream watershed (Ws) and within 100-m buffer of NHD stream lines (Rp100).",%,Disturbance ,Riparian,Watershed,"Hansen, M. C., P. V. Potapov, R. Moore, M. Hancher, S. A. Turubanova, A. Tyukavina, D. Thau, S. V. Stehman, S. J. Goetz, T. R. Loveland, A. Kommareddy, A. Egorov, L. Chini, C. O. Justice, and J. R. G. Townshend. 2013. “High-Resolution Global Maps of 21st-Century Forest Cover Change.” Science 342 (15 November): 850–53. Data available on-line from: http://earthenginepartners.appspot.com/science-2013-global-forest.",ForestLoss0013RipBuf100_
"PctNonAgIntrodManagVegCatRp100, PctNonAgIntrodManagVegWsRp100 – % Nonnative vegetation landcover type reclassed from LANDFIRE Existing Vegetation Type (EVT), within catchment (Cat) or upstream watershed (Ws) and within 100-m buffer of NHD stream lines (Rp100). ",%,Disturbance ,Riparian,Watershed,"LANDFIRE. [Homepage of the LANDFIRE Program, U.S. Department of Agriculture, Forest Service; U.S. Department of the Interior], [Online]. Available: http://www.landfire.gov/lf_mosaics.php [2015, January 01]",NonAgIntrodManagVegRipBuf100_
"KffactCat, KffactWs – Mean surface soil erodibility factors adjusted (KFFACT) , within the local catchment (Cat) and upstream watershed (Ws).",unitless,Natural,Soil,Watershed,Penn State Soil Information for Environmental Modeling and Ecosystem Management,Kffact_
"AgKffactCat, AgKffactWs – Mean surface soil erodibility factors adjusted (KFFACT)  on agricultural land (NLCD 2006), within the local catchment (Cat) and upstream watershed (Ws).",unitless,Natural,Soil,Watershed,Penn State Soil Information for Environmental Modeling and Ecosystem Management,Kffact_
"WtDepCat, WtDepWs – Mean of all wtdep values within the local catchment (Cat) and upstream watershed (Ws).",cm,Natural,Soils,Watershed,Carlisle et al. 2009,STATSGO_Set2_
"OmCat, OmWs – Mean of all om values within the local catchment (Cat) and upstream watershed (Ws).",%,Natural,Soils,Watershed,Carlisle et al. 2009,STATSGO_Set2_
"PermCat, PermWs – Mean of all perm values within the local catchment (Cat) and upstream watershed (Ws).",cm/hour,Natural,Soils,Watershed,"Carlisle et al. 2009, Wang et al. 2011",STATSGO_Set2_
"PermCatBf600, PermWsBf600 – Mean of all perm values within the local catchment (Cat) and upstream watershed (Ws) within a 600-m wide buffer of the NHD stream lines (Bf600). Derived as the intersection between Bf600 and perm landscape layers.",cm/hour,Natural,Soils,Watershed,Wang et al. 2011,STATSGO_Set2_
"RckDepCat, RckDepWs – Mean of all rckdep values within the local catchment (Cat) and upstream watershed (Ws).",cm,Natural,Soils,Watershed,"Carlisle et al. 2009, Wang et al. 2011",STATSGO_Set2_
"ClayCat, ClayWs – Mean of all clay values within the local catchment (Cat) and upstream watershed (Ws).",%,Natural,Soils,Watershed,Carlisle et al. 2009,STATSGO_Set1_
"SandCat, SandWs – Mean of all sand values within the local catchment (Cat) and upstream watershed (Ws).",%,Natural,Soils,Watershed,Carlisle et al. 2009,STATSGO_Set1_
"WsAreaSqKm – Watershed area at NHDPlus stream segment outlet, i.e., at the most downstream location of the vector line segment.",km2,Natural,Topography,Watershed,Wang et al. 2011,All tables
CatAreaSqKm – Area of local NHDPlus catchments. Local catchment areas were used  to weight local-catchment means of landscape layers to calculate full watershed metrics.,km2,Natural,Topography,Local catchment,Wang et al. 2011,All tables
"ElevCat, ElevWs – Mean of all elev_cm values within the local catchment (Cat) and upstream watershed (Ws) divided by 100 to convert cm to m.",m,Natural,Topography,Watershed,Carlisle et al. 2009,Elevation_
"PctUrbHi2006Cat, PctUrbHi2006Ws – % of the local catchment (Cat) and upstream watershed (Ws) areas classified as developed, high intensity land use. Derived from the nlcd2006.tif  (class 24) landscape raster.",%,Disturbance,Urban,Watershed,"Wang et al. 2011, Carlisle et al. 2009",NLCD2006_
"PctUrbHi2006CatRp100, PctUrbHi2006WsRp100 - % of the local catchment (Cat) and upstream watershed (Ws) classified as developed, high intensity land use within a 100-m wide buffer of the NHD stream lines (Rp100). Derived as the intersection between RipBuf100 and nlcd2006.tif (class 24) landscape layers.",%,Disturbance,Urban,Watershed,"Wang et al. 2011, Carlisle et al. 2009",NLCD2006_RipBuf100_
"PctUrbMd2006Cat, PctUrbMd2006Ws – % of the local catchment (Cat) and upstream watershed (Ws) areas classified as developed, medium intensity land use. Derived from the nlcd2006.tif  (class 23) landscape raster.",%,Disturbance,Urban,Watershed,"Wang et al. 2011, Carlisle et al. 2009",NLCD2006_
"PctUrbMd2006CatRp100, PctUrbMd2006WsRp100 - % of the local catchment (Cat) and upstream watershed (Ws) classified as developed, medium intensity land use within a 100-m wide buffer of the NHD stream lines (Rp100). Derived as the intersection between RipBuf100 and nlcd2006.tif (class 23) landscape layers.",%,Disturbance,Urban,Riparian,"Wang et al. 2011, Carlisle et al. 2009",NLCD2006_RipBuf100_
"PctUrbLo2006Cat, PctUrbLo2006Ws – % of the local catchment (Cat) and upstream watershed (Ws) areas classified as developed, low intensity land use. Derived from the nlcd2006.tif  (class 22) landscape raster.",%,Disturbance,Urban,Watershed,"Wang et al. 2011, Carlisle et al. 2009",NLCD2006_
"PctUrbLo2006CatRp100, PctUrbLo2006WsRp100 - % of the local catchment (Cat) and upstream watershed (Ws) classified as developed, low intensity land use within a 100-m wide buffer of the NHD stream lines (Rp100). Derived as the intersection between RipBuf100 and nlcd2006.tif (class 22) landscape layers.",%,Disturbance,Urban,Riparian,"Wang et al. 2011, Carlisle et al. 2009",NLCD2006_RipBuf100_
"PctUrbOp2006Cat, PctUrbOp2006Ws – % of the local catchment (Cat) and upstream watershed (Ws) areas classified as developed, open space land use. Derived from the nlcd2006.tif  (class 21) landscape raster.",%,Disturbance,Urban,Watershed,Wang et al. 2011,NLCD2006_
"PctUrbOp2006CatRp100, PctUrbOp2006WsRp100 - % of the local catchment (Cat) and upstream watershed (Ws) classified as developed, open space land use within a 100-m wide buffer of the NHD stream lines (Rp100). Derived as the intersection between RipBuf100 and nlcd2006.tif (class 21) landscape layers.",%,Disturbance,Urban,Riparian,Wang et al. 2011,NLCD2006_RipBuf100_
"PctCrop2006CatRp100, PctCrop2006WsRp100 - % of the local catchment (Cat) and upstream watershed (Ws) classified as crop land use within a 100-m wide buffer of the NHD stream lines (Rp100). Derived as the intersection between RipBuf100 and nlcd2006.tif (class 82) landscape layers.",%,Disturbance,Urban,Riparian,Wang et al. 2011,NLCD2006_RipBuf100_
"PopDen2010Cat, PopDen2010Ws – Mean of all popden2010 values within the local catchment (Cat) and upstream watershed (Ws).",people/km2,Disturbance,Urban,Watershed,"Falcone et al. 2010, Wang et al. 2011",USCensus2010_
"PopDen2010CatRp100, PopDen2010WsRp100 – Mean of all popden2010 values within the local catchment (Cat) and upstream watershed (Ws) within a 100-m wide buffer of the NHD stream lines (Rp100). Derived as the intersection between Rp100 and popden2010 landscape layers.",people/km2,Disturbance,Urban,Riparian,"Falcone et al. 2010, Wang et al. 2011",USCensus2010_
"HUDen2010Cat, HUDen2010Ws – Mean of all huden values within the upstream watershed.",housing units/km2,Disturbance,Urban,Watershed,Falcone et al. 2010,USCensus2010_
"PctUrbHi2011Cat, PctUrbHi2011Ws – % of the local catchment (Cat) and upstream watershed (Ws) areas classified as developed, high intensity land use. Derived from the nlcd2011.tif  (class 24) landscape raster.",%,Disturbance,Urban,Watershed,"Homer, C.G., Dewitz, J.A., Yang, L., Jin, S., Danielson, P., Xian, G., Coulston, J., Herold, N.D., Wickham, J.D., and Megown, K., 2015, Completion of the 2011 National Land Cover Database for the conterminous United States-Representing a decade of land cover change information. Photogrammetric Engineering and Remote Sensing, v. 81, no. 5, p. 345-354 ",NLCD2011_
"PctUrbHi2011CatRp100, PctUrbHi2011WsRp100 - % of the local catchment (Cat) and upstream watershed (Ws) classified as developed, high intensity land use within a 100-m wide buffer of the NHD stream lines (Rp100). Derived as the intersection between RipBuf100 and nlcd2011.tif (class 24) landscape layers.",%,Disturbance,Urban,Watershed,"Homer, C.G., Dewitz, J.A., Yang, L., Jin, S., Danielson, P., Xian, G., Coulston, J., Herold, N.D., Wickham, J.D., and Megown, K., 2015, Completion of the 2011 National Land Cover Database for the conterminous United States-Representing a decade of land cover change information. Photogrammetric Engineering and Remote Sensing, v. 81, no. 5, p. 345-354 ",NLCD2011_RipBuf100_
"PctUrbMd2011Cat, PctUrbMd2011Ws – % of the local catchment (Cat) and upstream watershed (Ws) areas classified as developed, medium intensity land use. Derived from the nlcd2011.tif  (class 23) landscape raster.",%,Disturbance,Urban,Watershed,"Homer, C.G., Dewitz, J.A., Yang, L., Jin, S., Danielson, P., Xian, G., Coulston, J., Herold, N.D., Wickham, J.D., and Megown, K., 2015, Completion of the 2011 National Land Cover Database for the conterminous United States-Representing a decade of land cover change information. Photogrammetric Engineering and Remote Sensing, v. 81, no. 5, p. 345-354 ",NLCD2011_
"PctUrbMd2011CatRp100, PctUrbMd2011WsRp100 - % of the local catchment (Cat) and upstream watershed (Ws) classified as developed, medium intensity land use within a 100-m wide buffer of the NHD stream lines (Rp100). Derived as the intersection between RipBuf100 and nlcd2011.tif (class 23) landscape layers.",%,Disturbance,Urban,Riparian,"Homer, C.G., Dewitz, J.A., Yang, L., Jin, S., Danielson, P., Xian, G., Coulston, J., Herold, N.D., Wickham, J.D., and Megown, K., 2015, Completion of the 2011 National Land Cover Database for the conterminous United States-Representing a decade of land cover change information. Photogrammetric Engineering and Remote Sensing, v. 81, no. 5, p. 345-354 ",NLCD2011_RipBuf100_
"PctUrbLo2011Cat, PctUrbLo2011Ws – % of the local catchment (Cat) and upstream watershed (Ws) areas classified as developed, low intensity land use. Derived from the nlcd2011.tif  (class 22) landscape raster.",%,Disturbance,Urban,Watershed,"Homer, C.G., Dewitz, J.A., Yang, L., Jin, S., Danielson, P., Xian, G., Coulston, J., Herold, N.D., Wickham, J.D., and Megown, K., 2015, Completion of the 2011 National Land Cover Database for the conterminous United States-Representing a decade of land cover change information. Photogrammetric Engineering and Remote Sensing, v. 81, no. 5, p. 345-354 ",NLCD2011_
"PctUrbLo2011CatRp100, PctUrbLo2011WsRp100 - % of the local catchment (Cat) and upstream watershed (Ws) classified as developed, low intensity land use within a 100-m wide buffer of the NHD stream lines (Rp100). Derived as the intersection between RipBuf100 and nlcd2011.tif (class 22) landscape layers.",%,Disturbance,Urban,Riparian,"Homer, C.G., Dewitz, J.A., Yang, L., Jin, S., Danielson, P., Xian, G., Coulston, J., Herold, N.D., Wickham, J.D., and Megown, K., 2015, Completion of the 2011 National Land Cover Database for the conterminous United States-Representing a decade of land cover change information. Photogrammetric Engineering and Remote Sensing, v. 81, no. 5, p. 345-354 ",NLCD2011_RipBuf100_
"PctUrbOp2011Cat, PctUrbOp2011Ws – % of the local catchment (Cat) and upstream watershed (Ws) areas classified as developed, open space land use. Derived from the nlcd2011.tif  (class 21) landscape raster.",%,Disturbance,Urban,Watershed,"Homer, C.G., Dewitz, J.A., Yang, L., Jin, S., Danielson, P., Xian, G., Coulston, J., Herold, N.D., Wickham, J.D., and Megown, K., 2015, Completion of the 2011 National Land Cover Database for the conterminous United States-Representing a decade of land cover change information. Photogrammetric Engineering and Remote Sensing, v. 81, no. 5, p. 345-354 ",NLCD2011_
"PctUrbOp2011CatRp100, PctUrbOp2011WsRp100 - % of the local catchment (Cat) and upstream watershed (Ws) classified as developed, open space land use within a 100-m wide buffer of the NHD stream lines (Rp100). Derived as the intersection between RipBuf100 and nlcd2011.tif (class 21) landscape layers.",%,Disturbance,Urban,Riparian,"Homer, C.G., Dewitz, J.A., Yang, L., Jin, S., Danielson, P., Xian, G., Coulston, J., Herold, N.D., Wickham, J.D., and Megown, K., 2015, Completion of the 2011 National Land Cover Database for the conterminous United States-Representing a decade of land cover change information. Photogrammetric Engineering and Remote Sensing, v. 81, no. 5, p. 345-354 ",NLCD2011_RipBuf100_
"PctCrop2011CatRp100, PctCrop2011WsRp100 - % of the local catchment (Cat) and upstream watershed (Ws) classified as crop land use within a 100-m wide buffer of the NHD stream lines (Rp100). Derived as the intersection between RipBuf100 and nlcd2011.tif (class 82) landscape layers.",%,Disturbance,Urban,Riparian,"Homer, C.G., Dewitz, J.A., Yang, L., Jin, S., Danielson, P., Xian, G., Coulston, J., Herold, N.D., Wickham, J.D., and Megown, K., 2015, Completion of the 2011 National Land Cover Database for the conterminous United States-Representing a decade of land cover change information. Photogrammetric Engineering and Remote Sensing, v. 81, no. 5, p. 345-354 ",NLCD2011_RipBuf100_
"HUDen2010CatRp100, HUDen2010WsRp100 – Mean of all huden values within the local catchment (Cat) or upstream watershed (Ws) and within 100-m buffer of NHD stream lines (Rp100).",housing units/km2,Disturbance,Urban,Watershed,Falcone et al. 2010,USCensus2010RipBuf_
"PctUrbHi2001Cat, PctUrbHi2001Ws – % of the local catchment (Cat) and upstream watershed (Ws) areas classified as developed, high intensity land use. Derived from the nlcd2001.tif  (class 24) landscape raster.",%,Disturbance,Urban,Watershed,"Homer, C., Dewitz, J., Fry, J., Coan, M., Hossain, N., Larson, C., Herold, N., McKerrow, A., VanDriel, J.N., and Wickham, J. 2007. Completion of the 2001 National Land Cover Database for the Conterminous United States. Photogrammetric Engineering and Remote Sensing, Vol. 73, No. 4, pp 337-341. ",NLCD2001_
"PctUrbHi2001CatRp100, PctUrbHi2001WsRp100 - % of the local catchment (Cat) and upstream watershed (Ws) classified as developed, high intensity land use within a 100-m wide buffer of the NHD stream lines (Rp100). Derived as the intersection between RipBuf100 and nlcd2001.tif (class 24) landscape layers.",%,Disturbance,Urban,Watershed,"Homer, C., Dewitz, J., Fry, J., Coan, M., Hossain, N., Larson, C., Herold, N., McKerrow, A., VanDriel, J.N., and Wickham, J. 2007. Completion of the 2001 National Land Cover Database for the Conterminous United States. Photogrammetric Engineering and Remote Sensing, Vol. 73, No. 4, pp 337-341. ",NLCD2001_RipBuf100_
"PctUrbMd2001Cat, PctUrbMd2001Ws – % of the local catchment (Cat) and upstream watershed (Ws) areas classified as developed, medium intensity land use. Derived from the nlcd2001.tif  (class 23) landscape raster.",%,Disturbance,Urban,Watershed,"Homer, C., Dewitz, J., Fry, J., Coan, M., Hossain, N., Larson, C., Herold, N., McKerrow, A., VanDriel, J.N., and Wickham, J. 2007. Completion of the 2001 National Land Cover Database for the Conterminous United States. Photogrammetric Engineering and Remote Sensing, Vol. 73, No. 4, pp 337-341. ",NLCD2001_
"PctUrbMd2001CatRp100, PctUrbMd2001WsRp100 - % of the local catchment (Cat) and upstream watershed (Ws) classified as developed, medium intensity land use within a 100-m wide buffer of the NHD stream lines (Rp100). Derived as the intersection between RipBuf100 and nlcd2001.tif (class 23) landscape layers.",%,Disturbance,Urban,Riparian,"Homer, C., Dewitz, J., Fry, J., Coan, M., Hossain, N., Larson, C., Herold, N., McKerrow, A., VanDriel, J.N., and Wickham, J. 2007. Completion of the 2001 National Land Cover Database for the Conterminous United States. Photogrammetric Engineering and Remote Sensing, Vol. 73, No. 4, pp 337-341. ",NLCD2001_RipBuf100_
"PctUrbLo2001Cat, PctUrbLo2001Ws – % of the local catchment (Cat) and upstream watershed (Ws) areas classified as developed, low intensity land use. Derived from the nlcd2001.tif  (class 22) landscape raster.",%,Disturbance,Urban,Watershed,"Homer, C., Dewitz, J., Fry, J., Coan, M., Hossain, N., Larson, C., Herold, N., McKerrow, A., VanDriel, J.N., and Wickham, J. 2007. Completion of the 2001 National Land Cover Database for the Conterminous United States. Photogrammetric Engineering and Remote Sensing, Vol. 73, No. 4, pp 337-341. ",NLCD2001_
"PctUrbLo2001CatRp100, PctUrbLo2001WsRp100 - % of the local catchment (Cat) and upstream watershed (Ws) classified as developed, low intensity land use within a 100-m wide buffer of the NHD stream lines (Rp100). Derived as the intersection between RipBuf100 and nlcd2001.tif (class 22) landscape layers.",%,Disturbance,Urban,Riparian,"Homer, C., Dewitz, J., Fry, J., Coan, M., Hossain, N., Larson, C., Herold, N., McKerrow, A., VanDriel, J.N., and Wickham, J. 2007. Completion of the 2001 National Land Cover Database for the Conterminous United States. Photogrammetric Engineering and Remote Sensing, Vol. 73, No. 4, pp 337-341. ",NLCD2001_RipBuf100_
"PctUrbOp2001Cat, PctUrbOp2001Ws – % of the local catchment (Cat) and upstream watershed (Ws) areas classified as developed, open space land use. Derived from the nlcd2001.tif  (class 21) landscape raster.",%,Disturbance,Urban,Watershed,"Homer, C., Dewitz, J., Fry, J., Coan, M., Hossain, N., Larson, C., Herold, N., McKerrow, A., VanDriel, J.N., and Wickham, J. 2007. Completion of the 2001 National Land Cover Database for the Conterminous United States. Photogrammetric Engineering and Remote Sensing, Vol. 73, No. 4, pp 337-341. ",NLCD2001_
"PctUrbOp2001CatRp100, PctUrbOp2001WsRp100 - % of the local catchment (Cat) and upstream watershed (Ws) classified as developed, open space land use within a 100-m wide buffer of the NHD stream lines (Rp100). Derived as the intersection between RipBuf100 and nlcd2001.tif (class 21) landscape layers.",%,Disturbance,Urban,Riparian,"Homer, C., Dewitz, J., Fry, J., Coan, M., Hossain, N., Larson, C., Herold, N., McKerrow, A., VanDriel, J.N., and Wickham, J. 2007. Completion of the 2001 National Land Cover Database for the Conterminous United States. Photogrammetric Engineering and Remote Sensing, Vol. 73, No. 4, pp 337-341. ",NLCD2001_RipBuf100_
"PctCrop2001CatRp100, PctCrop2001WsRp100 - % of the local catchment (Cat) and upstream watershed (Ws) classified as crop land use within a 100-m wide buffer of the NHD stream lines (Rp100). Derived as the intersection between RipBuf100 and nlcd2001.tif (class 82) landscape layers.",%,Disturbance,Urban,Riparian,"Homer, C., Dewitz, J., Fry, J., Coan, M., Hossain, N., Larson, C., Herold, N., McKerrow, A., VanDriel, J.N., and Wickham, J. 2007. Completion of the 2001 National Land Cover Database for the Conterminous United States. Photogrammetric Engineering and Remote Sensing, Vol. 73, No. 4, pp 337-341. ",NLCD2001_RipBuf100_
"MAST_2008, MAST_2009, MAST_2013, MAST_2014 - Predicted reference-condition mean annual stream temperatures. These temperatures are predictions of what stream temperatures could be under minimal human-related alterations to watersheds - not current conditions",C°,Natural,Water quality,Stream segment,"Predictions made by applying a random forest model developed in: Predicting thermal reference conditions for USA streams and rivers. Ryan A. Hill, Charles P. Hawkins, and Daren M. Carlisle",RefStreamTempPred_
"WetIndexCat, WetIndexWs –  Mean Composite Topographic Index (CTI)[Wetness Index]:, within the local catchment (Cat) and upstream watershed (Ws) ",Ave rate,Natural,wetness,Watershed,"http://enviroatlas.epa.gov/enviroatlas/datafactsheets/pdf/ESN/PercentForestonWetAreas.pdf , obtained from EnviroAtlas 11 July 2015",WetIndx_
